City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Albany,42.6001,-73.9662,37.0,27,100,1.01,US,2021-04-02 23:04:07
199,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
200,Cherskiy,68.75,161.3,3.31,72,100,5.7,RU,2021-04-02 23:04:29
201,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
202,Gotsu,35.0,132.2167,61.88,70,2,9.08,JP,2021-04-02 23:04:55
203,Tuy Hoa,13.0833,109.3,75.45,93,81,2.98,VN,2021-04-02 23:01:27
204,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
205,Geraldton,-28.7667,114.6,69.8,88,40,9.22,AU,2021-04-02 23:04:15
206,Cape Town,-33.9258,18.4232,64.0,72,0,4.61,ZA,2021-04-02 22:59:59
207,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
208,New Norfolk,-42.7826,147.0587,77.0,32,0,5.01,AU,2021-04-02 23:04:56
209,Severo-Kurilsk,50.6789,156.125,30.99,79,29,14.12,RU,2021-04-02 23:04:53
210,Vestmannaeyjar,63.4427,-20.2734,43.2,84,100,9.82,IS,2021-04-02 23:04:56
211,Okhotsk,59.3833,143.3,18.03,81,100,5.19,RU,2021-04-02 23:04:56
212,Jamestown,42.097,-79.2353,34.0,43,1,10.36,US,2021-04-02 23:04:23
213,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
214,Port Elizabeth,-33.918,25.5701,59.0,82,20,6.91,ZA,2021-04-02 23:02:18
215,Coari,-4.085,-63.1414,75.42,95,48,1.54,BR,2021-04-02 23:04:57
216,Busselton,-33.65,115.3333,63.0,83,100,1.99,AU,2021-04-02 23:04:26
217,Busselton,-33.65,115.3333,63.0,83,100,1.99,AU,2021-04-02 23:04:26
218,Hithadhoo,-0.6,73.0833,83.44,75,90,19.22,MV,2021-04-02 23:04:58
219,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
220,New Norfolk,-42.7826,147.0587,77.0,32,0,5.01,AU,2021-04-02 23:04:56
221,Tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,6.91,CA,2021-04-02 23:04:13
222,Ahipara,-35.1667,173.1667,69.46,63,30,8.28,NZ,2021-04-02 23:04:44
223,Ordzhonikidze,52.4411,61.7408,23.94,88,93,8.01,KZ,2021-04-02 23:04:58
224,Butaritari,3.0707,172.7902,81.99,80,32,16.08,KI,2021-04-02 23:04:59
225,Yellowknife,62.456,-114.3525,8.01,72,90,6.91,CA,2021-04-02 23:04:44
226,Ponta Do Sol,32.6667,-17.1,62.6,67,40,6.91,PT,2021-04-02 23:04:30
227,Kudahuvadhoo,2.6708,72.8944,82.76,75,14,15.1,MV,2021-04-02 23:04:59
228,Ribeira Grande,38.5167,-28.7,61.66,81,99,24.74,PT,2021-04-02 23:04:12
229,Barrow,71.2906,-156.7887,-14.8,76,1,4.61,US,2021-04-02 23:00:02
230,Champerico,14.3,-91.9167,89.6,58,20,6.91,GT,2021-04-02 23:05:00
231,Puyo,-1.4667,-77.9833,71.6,88,75,2.3,EC,2021-04-02 23:05:00
232,Constitucion,-35.3333,-72.4167,57.43,83,25,13.58,CL,2021-04-02 23:04:26
233,Minot,48.2325,-101.2963,68.0,14,1,16.11,US,2021-04-02 23:04:37
234,Carnarvon,-24.8667,113.6333,77.0,94,41,8.05,AU,2021-04-02 23:04:17
235,Bethel,41.3712,-73.414,33.01,52,100,8.81,US,2021-04-02 23:04:29
236,Bluff,-46.6,168.3333,51.01,80,94,4.0,NZ,2021-04-02 23:04:15
237,Ust-Kuyga,70.0167,135.6,-9.27,96,97,7.45,RU,2021-04-02 23:05:01
238,Lola,7.8,-8.5333,77.2,66,47,3.56,GN,2021-04-02 23:05:01
239,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
240,Hamilton,39.1834,-84.5333,48.2,23,1,4.61,US,2021-04-02 23:05:02
241,Saint-Philippe,-21.3585,55.7679,77.0,94,75,16.11,RE,2021-04-02 23:04:50
242,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
243,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
244,Vao,-22.6667,167.4833,74.73,87,100,30.62,NC,2021-04-02 23:05:02
245,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
246,Ribeira Grande,38.5167,-28.7,61.66,81,99,24.74,PT,2021-04-02 23:04:12
247,Saskylakh,71.9167,114.0833,-35.75,100,61,2.51,RU,2021-04-02 23:05:03
248,Bambous Virieux,-20.3428,57.7575,75.99,100,40,1.14,MU,2021-04-02 23:04:45
249,Bluff,-46.6,168.3333,51.01,80,94,4.0,NZ,2021-04-02 23:04:15
250,Tupik,54.4253,119.9327,7.92,75,5,2.62,RU,2021-04-02 23:05:04
251,Beringovskiy,63.05,179.3167,8.71,85,99,13.76,RU,2021-04-02 23:05:04
252,New Norfolk,-42.7826,147.0587,77.0,32,0,5.01,AU,2021-04-02 23:04:56
253,Nhamunda,-2.1861,-56.7131,75.42,97,94,2.73,BR,2021-04-02 23:05:04
254,Namwala,-15.7504,26.4384,62.49,85,56,4.74,ZM,2021-04-02 23:05:05
255,Saint-Philippe,-21.3585,55.7679,77.0,94,75,16.11,RE,2021-04-02 23:04:50
256,Hobart,-42.8794,147.3294,75.99,46,0,10.36,AU,2021-04-02 23:00:21
257,Nanortalik,60.1432,-45.2371,35.67,98,100,0.29,GL,2021-04-02 23:05:05
258,Kapit,2.0167,112.9333,72.48,99,100,0.51,MY,2021-04-02 23:05:06
259,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
260,Tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,6.91,CA,2021-04-02 23:04:13
261,Castro,-24.7911,-50.0119,58.33,82,4,3.27,BR,2021-04-02 23:04:18
262,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
263,Coquimbo,-29.9533,-71.3436,59.0,82,0,6.91,CL,2021-04-02 23:05:06
264,Bathsheba,13.2167,-59.5167,78.8,57,40,17.27,BB,2021-04-02 23:01:07
265,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
266,Ponta Do Sol,32.6667,-17.1,62.6,67,40,6.91,PT,2021-04-02 23:04:30
267,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
268,Norman Wells,65.282,-126.8329,8.6,61,75,3.44,CA,2021-04-02 23:05:07
269,Longyearbyen,78.2186,15.6401,21.2,73,75,9.22,SJ,2021-04-02 23:03:10
270,Guatire,10.4762,-66.5427,80.6,78,40,5.75,VE,2021-04-02 23:05:07
271,Tiksi,71.6872,128.8694,-15.7,100,100,7.29,RU,2021-04-02 23:05:08
272,Khatanga,71.9667,102.5,-33.29,99,9,4.61,RU,2021-04-02 23:04:37
273,Airai,-8.9266,125.4092,61.59,95,100,3.76,TL,2021-04-02 23:05:08
274,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
275,Albany,42.6001,-73.9662,37.0,27,100,1.01,US,2021-04-02 23:04:07
276,Hamilton,39.1834,-84.5333,48.2,23,1,4.61,US,2021-04-02 23:05:02
277,China,25.7,-99.2333,67.91,60,100,15.26,MX,2021-04-02 23:05:09
278,Alice Springs,-23.7,133.8833,64.4,59,0,5.75,AU,2021-04-02 23:00:44
279,Bethel,41.3712,-73.414,33.01,52,100,8.81,US,2021-04-02 23:04:29
280,Atuona,-9.8,-139.0333,80.42,81,26,13.2,PF,2021-04-02 23:04:34
281,Lompoc,34.6391,-120.4579,66.99,63,20,12.66,US,2021-04-02 23:00:55
282,Lorengau,-2.0226,147.2712,82.62,78,99,4.5,PG,2021-04-02 23:01:16
283,Castro,-24.7911,-50.0119,58.33,82,4,3.27,BR,2021-04-02 23:04:18
284,Komsomolskiy,40.4272,71.7189,41.0,38,0,4.61,UZ,2021-04-02 23:05:09
285,Wanning,18.8003,110.3967,74.98,94,27,4.72,CN,2021-04-02 23:04:28
286,Saint George,37.1041,-113.5841,84.99,11,1,5.75,US,2021-04-02 23:01:01
287,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
288,Alamos,27.0167,-108.9333,91.99,27,31,9.15,MX,2021-04-02 23:05:10
289,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
290,Kahului,20.8947,-156.47,80.6,61,40,19.57,US,2021-04-02 23:02:04
291,Kapaa,22.0752,-159.319,75.99,88,90,8.05,US,2021-04-02 23:04:34
292,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
293,Nanortalik,60.1432,-45.2371,35.67,98,100,0.29,GL,2021-04-02 23:05:05
