,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Santiago del Estero,AR,-27.8,-64.26,82.9,43,72,11.23,broken clouds
157,Massakory,TD,13.0,15.73,93.33,9,31,9.86,scattered clouds
158,Ati,TD,13.22,18.34,91.69,10,14,8.9,few clouds
159,Cerrito,PY,-27.32,-57.67,81.72,44,9,2.35,clear sky
160,Puerto del Rosario,ES,28.5,-13.86,69.8,60,20,16.11,few clouds
161,Kashgar,CN,39.45,75.98,44.6,70,47,5.03,scattered clouds
162,Canavieiras,BR,-15.68,-38.95,87.8,70,20,8.05,few clouds
163,Arinos,BR,-15.92,-46.11,90.28,43,97,1.86,light rain
164,Richards Bay,ZA,-28.78,32.04,72.41,60,80,13.31,broken clouds
165,Pisco,PE,-13.7,-76.22,77.0,73,0,10.36,clear sky
166,Esmeraldas,EC,-1.87,-79.8,86.0,70,75,6.91,broken clouds
167,Razlog,BG,41.89,23.47,50.0,98,66,10.0,broken clouds
168,Porbandar,IN,21.64,69.61,80.62,71,2,8.95,clear sky
169,Dingle,IE,52.14,-10.27,49.89,65,3,5.12,clear sky
170,Lakselv,NO,70.05,24.97,35.6,64,75,25.32,broken clouds
171,Ventspils,LV,57.39,21.56,37.4,87,20,12.66,few clouds
172,Lodja,CD,-3.48,23.43,74.19,91,66,2.04,light rain
173,Pozo Colorado,PY,-23.49,-58.8,95.29,24,43,4.07,scattered clouds
174,Puerto Madryn,AR,-42.77,-65.04,78.53,39,11,13.56,few clouds
175,Muros,ES,42.78,-9.06,69.01,61,0,5.01,clear sky
176,Itaituba,BR,-4.28,-55.98,89.6,62,40,9.22,scattered clouds
177,Oranjestad,AW,12.52,-70.03,84.2,70,40,23.02,scattered clouds
178,Vieste,IT,41.88,16.18,59.0,94,40,11.5,scattered clouds
179,San Cristobal,EC,-0.9,-89.62,86.0,70,20,5.75,few clouds
180,Santa Lucía,ES,27.91,-15.54,70.0,56,20,25.32,few clouds
181,Nuuk,GL,64.18,-51.72,21.2,79,75,19.57,broken clouds
182,Marsh Harbour,BS,26.54,-77.06,67.53,55,25,23.26,scattered clouds
183,Novyy Oskol,RU,50.76,37.87,38.88,73,68,5.3,broken clouds
184,Pastavy,BY,55.12,26.83,36.41,76,73,7.05,broken clouds
185,Acarigua,VE,9.55,-69.2,93.2,33,81,12.66,broken clouds
186,Turaif,SA,31.67,38.66,60.8,41,0,4.61,clear sky
187,Port Blair,IN,11.67,92.75,79.32,75,100,4.14,overcast clouds
188,Gornyy,RU,55.12,83.91,27.9,89,91,10.49,overcast clouds
189,Gravdal,NO,68.12,13.5,40.33,81,100,21.34,overcast clouds
190,Mabaruma,GY,8.2,-59.78,79.88,88,69,6.35,broken clouds
191,Bonthe,SL,7.53,-12.51,84.88,67,56,13.58,broken clouds
192,Novy Urengoy,RU,66.08,76.63,30.18,94,99,9.66,overcast clouds
193,Pascagoula,US,30.37,-88.56,66.2,37,1,12.66,clear sky
194,Port Hawkesbury,CA,45.62,-61.35,36.0,100,90,5.75,moderate rain
195,Turukhansk,RU,65.82,87.98,14.14,90,98,10.31,overcast clouds
196,Karasburg,NA,-28.02,18.75,82.02,16,0,10.09,clear sky
197,Trinidad,CU,21.8,-79.98,80.6,44,40,16.11,scattered clouds
198,Gomel,BY,52.43,30.98,46.0,65,75,4.47,broken clouds
199,Tāybād,IR,34.74,60.78,75.49,32,90,25.72,overcast clouds
200,Surab,PK,28.49,66.26,69.48,18,0,3.29,clear sky
201,Basoko,CD,1.24,23.62,76.24,74,88,0.65,overcast clouds
202,Willowmore,ZA,-33.29,23.49,66.92,28,4,2.84,clear sky
203,Polyarny,RU,69.2,33.45,33.8,55,0,8.95,clear sky
204,Aljezur,PT,37.32,-8.8,61.7,72,38,12.03,scattered clouds
205,Saldanha,ZA,-33.01,17.94,68.0,64,20,9.22,few clouds
206,Parintins,BR,-2.63,-56.74,87.03,61,89,4.03,light rain
207,Nanortalik,GL,60.14,-45.24,36.52,99,100,1.99,overcast clouds
208,Bulawayo,ZW,-20.15,28.58,70.11,47,13,8.72,few clouds
209,Sakakah,SA,29.97,40.21,66.2,16,0,9.22,clear sky
210,Derzhavīnsk,KZ,51.1,66.32,32.99,82,97,13.44,overcast clouds
211,Tiznit Province,MA,29.58,-9.5,61.97,62,0,11.54,clear sky
212,Lebu,CL,-37.62,-73.65,62.29,68,9,12.26,clear sky
